"","level","metric","denoise_method","taxonomy_method","dataset","total","unassigned","percent_unassigned","point_type"
"82","Family","taxa","dada2","VSEARCH","marchamley",19,2,10.53,"Lowest"
"83","Family","taxa","metabeat","VSEARCH","marchamley",20,2,10,"Lowest"
"84","Family","taxa","vsearch","VSEARCH","marchamley",19,2,10.53,"Lowest"
"85","Family","taxa","dada2","BLAST","ringtrial_sean",18,2,11.11,"Highest"
"86","Family","taxa","metabeat","BLAST","ringtrial_sean",19,2,10.53,"Highest"
"87","Family","taxa","vsearch","BLAST","ringtrial_sean",18,2,11.11,"Highest"
"88","Family","taxa","dada2","MAPseq","ringtrial_sean",21,2,9.52,"Middle"
"89","Family","taxa","metabeat","MAPseq","ringtrial_sean",21,2,9.52,"Middle"
"90","Family","taxa","vsearch","MAPseq","ringtrial_sean",21,2,9.52,"Middle"
"91","Family","taxa","dada2","RDP","ringtrial_sean",20,2,10,"Middle"
"92","Family","taxa","metabeat","RDP","ringtrial_sean",20,2,10,"Middle"
"93","Family","taxa","vsearch","RDP","ringtrial_sean",20,2,10,"Middle"
"94","Family","taxa","dada2","VSEARCH","ringtrial_sean",22,2,9.09,"Lowest"
"95","Family","taxa","metabeat","VSEARCH","ringtrial_sean",23,2,8.7,"Lowest"
"96","Family","taxa","vsearch","VSEARCH","ringtrial_sean",22,2,9.09,"Lowest"
"97","Family","taxa","dada2","BLAST","windermere_2017",24,2,8.33,"Middle"
"98","Family","taxa","metabeat","BLAST","windermere_2017",24,2,8.33,"Middle"
"99","Family","taxa","vsearch","BLAST","windermere_2017",24,2,8.33,"Middle"
"100","Family","taxa","dada2","MAPseq","windermere_2017",28,2,7.14,"Middle"
"101","Family","taxa","metabeat","MAPseq","windermere_2017",27,2,7.41,"Middle"
"102","Family","taxa","vsearch","MAPseq","windermere_2017",27,2,7.41,"Middle"
"103","Family","taxa","dada2","RDP","windermere_2017",23,2,8.7,"Highest"
"104","Family","taxa","metabeat","RDP","windermere_2017",23,2,8.7,"Highest"
"105","Family","taxa","vsearch","RDP","windermere_2017",23,2,8.7,"Highest"
"106","Family","taxa","dada2","VSEARCH","windermere_2017",35,2,5.71,"Lowest"
"107","Family","taxa","metabeat","VSEARCH","windermere_2017",34,2,5.88,"Lowest"
"108","Family","taxa","vsearch","VSEARCH","windermere_2017",34,2,5.88,"Lowest"
